id,original,base_time,base,small_time,small,medium_time,medium,large_time,large
1,들죠 그러면 소리가 어떤 소리가 달랐기 때문에 이 각각.,3.852987766,그러면 소리가 어떤 소리가 달랐기 때문에 이 가까이,7.362473965,그러면 소리가 어떤 소리가 달랐기 때문에 이 가까이,18.15502667,그러면 소리가 어떤 소리가 달랐기 때문에,29.69256139,그러면 소리가 어떤 소리가 달랐기 때문에
2,달라질까 바로 첫 번째 나오는.,1.64414835,달라질까? 바로 첫 번째 나오는,5.449539423,달라질까? 바로 첫 번째 나오는,16.0463779,달라질까? 바로 첫 번째 나오는,28.7785027,달라질까? 바로 첫 번째 나오는
3,죠. 근데 오늘 우리는요 음운이 뭔지 배우는 시간 아니에요. 음운이 뭔지는요 이제 이후에 이어지는 강의에서 아/.,2.093001842,오늘 우리는 의문이 먼지 배우는 시간 아니에요. 의문이 먼지는 이후에 이어지는 강의에서,5.966772318,오늘 우리는 의문이 뭔지 배우는 시간 아니에요. 의문이 뭔지는 이후에 이어지는 강의에서,18.76469016,오늘 우리는요 의문이 뭔지 배우는 시간 아니에요. 의문이 뭔지는요 이제 이후에 이어지는 강의에서,33.92793632,오늘 우리는요 의문이 뭔지 배우는 시간 아니에요 의문이 뭔지는요 이제 이후에 이어지는 강의에서
4,세히 배울 겁니다. 그래서 오늘은요 거시적인 차원에서 큰 경치를 보는 어+ 국어의 특징 중에 음운의 특징 큰.,2.436029434,"대회의 배울 겁니다. 그래서 오늘은요, 거시적인 차원에서 큰 경치를 보는 구거의 특징 중에 응원의 특징 큰 경치입니다.",6.015541315,그래서 오늘은요 거시적인 차원에서 큰 경치를 보는 국어의 특징 중에 의문의 특징,18.50252581,배울 겁니다. 그래서 오늘은요 거시적인 차원에서 큰 경치를 보는 국어의 특징 중에 의문의 특징 큰,34.96872377,배울 겁니다. 그래서 오늘은요 거시적인 차원에서 큰 경치를 보는 국어의 특징 중에 의문의 특징 큰 특징
5,저 우리 국어에서는 이 자음과 모음을 음운이라고 얘기합니다.,1.809999704,"우리 그거에서는요, 자음과 모음을 음음이라고 얘기합니다.",5.707145214,"우리 구구에서는요, 자음과 모음을 음, 은이라고 얘기합니다.",16.65354061,"우리 국어에서는 자음과 모음을 음, 음이라고 얘기합니다.",30.7778573,"우리 국어에서는 자음과 모음을 음,운 이라고 얘기합니다"
6,자/ 그러면 음운의 특징 일 번 가겠습니다.,1.729004145,자 그러면 의문의 특징 1번 가겠습니다.,5.094036341,자 그러면 의문의 특징 1번 가겠습니다,15.49565816,자 그러면 의문의 특징 1번 가겠습니다,29.319309,자 그러면 의문의 특징 1번 가겠습니다.
7,여러분 교재에도 그대로 나와 있습니다.,1.598028183,여러분 교재에도 그대로 나와 있습니다.,4.96999979,여러분 교재도 그대로 나와 있습니다.,15.12037706,여러분 교재에도 그대로 나와 있습니다.,28.10822654,여러분 교재에도 그대로 나와 있습니다.
8,자/ 국어 음운의 특징 돼 있죠 교재 어/ 십 사.,1.743998766,"자, 그거 음원의 특징이 되어 있죠? 교재 14",5.623030663,"자, 국어 의문의 특징이 되있죠? 교재를 14개",16.62407875,"자, 국어 의문의 특징이 되있죠. 교제 14.",31.18517208,"자, 국어 의문의 특징 되어있죠? 교재 14장."
9,자/ 국어는.,1.521998882,"자, 그거는",4.76405549,"자, 그거는",14.49562597,"자, 국어는",28.19412923,"자, 국어는"
10,아주 중요한 부분 나왔어요. 예사소리.,1.801999807,아주 중요한 부분 나왔어요. 예사 소리.,5.152001381,아주 중요한 부분 나왔어요. 예사 소리.,15.3240571,아주 중요한 부분 나왔어요. 예사소리!,29.12265062,아주 중요한 부분 나왔어요. 예사 쏘리.
11,센소리가 대립되는 자음 체계를 가지고 있다. 아주 독특한 국어만의 특징입니다.,2.147999525,쓴 소리가 대립되는 자음 체계를 가지고 있다 아주 독특한 구과만의 특징입니다.,6.211438417,무슨 소리가 대립되는 자음체계를 가지고 있다. 아주 독특한 구가만의 특징입니다.,18.05336714,무슨 소리가 대립되는 자음 체계를 가지고 있다. 아주 독특한 국어만의 특징입니다.,33.68367243,센소리가 대립되는 자음체계를 가지고 있다. 아주 독특한 국어만의 특징입니다.
12,어려운 말로도 얘기할 수 있어요. 어/.,1.663024187,어려운 말로도 얘기할 수 있어요.,5.088000059,어려운 말로도 얘기할 수 있어요.,15.43600321,어려운 말로도 얘기할 수 있어요.,28.82100487,어려운 말로도 얘기할 수 있어요.
13,이 예사소리 이걸 다른 말로 평음이라고도 하고요 자/ 된소리 이걸 뭐라고 하죠 예 경음이라고도 하고요 거센 소리.,2.333508968,"예사 소리, 다른 말로 평음이라고도 하고요. 된 소리, 이걸 뭐라고 하죠? 평음이라고도 하고요. 거센 소리.",6.511026144,예사 소리 다른 말로 평음이라고도 하고요. 된 소리 이걸 뭐라고 하죠? 경음이라고도 하고요. 거생 소리,18.32395911,"예사소리, 다른 말로 평음이라고도 하고요 된소리, 경음이라고도 하고요 거센소리",35.77188706,"예사 소리, 다른 말로 평음이라고도 하고요. 된 소리, 이걸 뭐라고 하죠? 경음이라고도 하고요. 거센 소리"
14,음이라고 얘기를 해요. 이 세 개의 어/ 축.,1.636015177,이 3개의 질투,4.70056057,이 세계의...,15.84770322,음이라고 얘기를 해요. 이 세계의...,28.30119777,음이라고 얘기를 해요. 이 세계의
15,축이 대 축이 대립되고 (있다는)/(있다라는) 겁니다. 예를 들어서요 국어의 파열음 볼게요. 그 끄 크.,2.315020561,"치기 대축이 대립되고 있다는 겁니다. 예를 들어서요. 구거의 파열을 볼게요. 그, 그, 그.",6.155239582,"축이 대립되고 있다는 겁니다. 예를 들어서요, 그거의 파열은 볼게요. 그 그 그",18.85366964,"축이 대립되고 있다는 겁니다. 예를 들어서 국어에 파열은 볼게요. ㄱ, ㄱ, ㄱ",32.59239101,축이 대립되고 있다라는 겁니다. 예를 들어서요 국어에 파열음 볼게요.
16,(짝꿍이)/(짝궁이) 있죠 자/ 이+ (짝꿍이)/(짝궁이) 어떻게 해요 총 세 개를 세 개가 있다는 거예요. 삼 항 대립이 (된다는)/(된다라는).,2.184998989,작군이 있죠. 저희 작군이 어떻게 요 총 세 개가 3개가 있다는 거예요. 사망 내리비된다는 거예요.,6.491518974,짝꿍이 있죠? 저희 짝꿍이 어떻게요? 총 3개가 있다는 거예요 사망 내리비된다는 거예요,19.71408033,짝꿍이 있죠. 자 이 짝꿍이 어떻게 해요? 총 3개가 있다는 거예요. 사망 내립이 된다는 거예요.,36.18433332,"짝꿍이 있죠. 이 짝꿍이 어떻게 해요? 총 3개가 있다는 거예요. 사망, 내립이 된다는 거예요."
17,그에 반해서요 영어의 파열음 유.,1.652001858,그에 반해서 영호의 바여름,5.195957422,"그에 반해서요, 영어에 파여름",15.69326043,"그에 반해서요, 영어의 파열음",28.65313983,그에 반해서 영어의 파열음
18,자/ 우리 비읍으로 나타낼 수 있는 거 뭐죠.,1.786999941,자 우리 비위브로 나타낼 수 있는 거 뭐죠?,5.297171354,우리 비윱으로 나타낼 수 있는 건 뭐죠?,15.84311366,자 우리 비읍으로 나타낼 수 있는 거 뭐죠?,29.36777616,우리 비읍으로 나타낼 수 있는 건 뭐죠?
19,프 이렇게 써요. 자/ 디귿으로 나타낼 수 있는 건 드 아니면은 트.,1.977998972,"이렇게 써요. 자, 뒤그스로 나타낼 수 있는은 드 아니면은 트.",5.463058949,이렇게 써요. 디그스로 나타날 수 있는은 D 아니면 T,17.09655809,"이렇게 써요. 자, 디귿으로 나타날 수 있는 건 드 아니면 트.",31.63753486,"이렇게 써요. 자, 디귿으로 나타낼 수 있는 건 드 아니면은 트"
20,(띠와)/(디와) 티 이렇게 돼 있고요 자/ 기역으로 나타낼 수 있는 거는 그 크 이렇게 나와요.,1.997008324,"drt 이렇게 돼 있고요. 자, 기억으로 나타낼 수 있는 거는 그, 크 이렇게 나와요.",6.324027538,"DRT 이렇게 되어있고요. 자, 기억으로 나타낼 수 있는 거는 ㄱ, ㄱ 이렇게 나와요.",18.12350035,"디아티 이렇게 되있구요 자 기억으로 나타낼 수 있는 것은 ㄱ, ㄱ 이렇게 나와요",29.95655322,"기억으로 나타낼 수 있는 것은 그, 그 이렇게 나와요"
21,저 영어는 삼 항이 아니라 두개로 대립되네 그래서 위에 나오는 예를 우리는 유.,1.992026806,영어는 3학년이라 2개로 때릴 때네 그래서 위에 나오는 예를 우리는 유일하게,5.95099926,영어는 사망이 아니라 두 개로 대립되네 그래서 위에 나오는 예를 우리는 유지하고,17.76904535,영어는 사망이 아니라 두 개로 대립되네. 그래서 위에 나오는 예를 우리는 유지합니다.,32.22661567,영어는 3항이 아니라 2개로 대립되네. 그래서 위에 나오는 예를 우리는
22,음이라고 하고 유성음이라고 하고 밑에 나오는 피 티 케이 얘네들을요 무성음 프 트 크라고 소리 나는 무성음이라고 해요. 유성음은요 발음을 할 때 이 성대의 진동이 있는 소리 울림이 있는 소리 그니까.,2.862514734,"유성음이라고 하고 밑에 나오는 PTK 얘네들을요. 무상은 Ptk라고 소리나는 무상음이라고 해요. 유성음은 발음을 할 때 이 성대의 진동이 있는 소리, 울림 있는 소리.",7.878645658,"유성음이라고 하고 밑에 나오는 PTK 얘네들을 무성음, 푸트크 라고 소리나는 무성음이라고 해요. 유성음은요, 발음을 할 때 성대의 진동이 있는 소리, 올림이 있는 소리",24.55155396,성음이라고 하고 유성음이라고 하고 밑에 나오는 p t k 얘네들을 무성음 f t k 라고 소리나는 무성음이라고 해요. 유성음은요. 발음을 할 때 성대 진동이 있는 소리. 울림이 있는 소리. 그러니까.,44.39683843,"요성음이라고 하고, 요성음이라고 하고, 밑에 나오는 PTK 얘네들을요 무성음, PTK라고 소리나는 무성음이라고 해요. 요성음은요, 발음을 할 때 성대에 진동이 있는 소리, 울림이 있는 소리."
23,목청에 울림을 끌어내는 소리 이거.,1.718999863,목청에 울림을 끌어내는 소리.,5.148998737,목청에 울림을 끌어내는 소리,15.63403034,목청에 울림을 끌어내는 소리,29.96803355,목청의 울림을 끌어내는 소리
24,돼요. 근데 어쨌든 뭐 이 유성음 무성음 나중에.,1.610995531,그런데 어쨌든 유성은 무상은 나중에,5.223001003,근데 어쨌든 유성은 무성은 나중에,16.21389818,되요. 네 어쨌든 유성은 무성은 나중에,29.16154194,근데 어쨌든 뭐 이 유성은 무성은 나중에
25,자세히 다시 배울 건데요 국어는요 이렇게 삼 항 체계를 가지고 있다. 어/ 특이한 (점이라는)/(점이다라는) 거 특징 첫 번째 배웠습니다. 자/ 국어의 의문적 특징 두 번째 뭘까요.,2.721012831,다시 배울 건데요. 구거는 이렇게 사망 체계를 가지고 있다. 특이한 점이다 라는 거 특징 첫 번째 배웠습니다. 구거의 음은적 특징 두 번째 뭘까요.,7.673668861,"다시 배울 건데요. 그거는요. 이렇게 사망체계를 가지고 있다. 특이한 점이다. 라는 특징 첫 번째 배웠습니다. 자, 그거의 의문적 특징 두 번째. 뭘까요?",22.61642289,"자세히 다시 배울 건데요. 국어는요. 이렇게 사망체계를 가지고 있다. 특이한 점이다. 라는 것의 특징 첫 번째 배웠습니다. 자, 국어의 의문적 특징 두 번째 뭘까요?",41.76091695,"자세히 다시 배울 건데요. 국어는요. 이렇게 사망체계를 가지고 있다. 특이한 점이다. 라는 것 특징 첫 번째 배웠습니다. 자, 국어의 의문적 특징 두 번째 뭘까요?"
26,예 다른 언어에 비해 국어는.,1.634999752,다른 언어의 비해 구간은,5.007000446,다른 언어에 비해 구건은,15.19105697,다른 언어에 비해 국어는,29.15844965,다른 언어에 비해 국어는
